File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results
DaV/viper/dafny_book_examples/Chapter_8/examples-8.1.vpr,0,1786,13,0,1770,1785,1803,true,success,boogieTime=1565
DaV/viper/dafny_book_examples/Chapter_8/examples-8.2.vpr,0,2787,29,1,2747,2802,2814,true,success,boogieTime=2501
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.0.vpr,0,1434,2,0,1432,1434,1437,true,success,boogieTime=1267
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.1.vpr,0,221,1,0,219,222,223,true,success,boogieTime=214
DaV/viper/dafny_book_examples/Chapter_8/exercises-8.2.vpr,0,5057,341,6,4812,4819,5540,true,success,boogieTime=3961
DaV/viper/dafny_book_examples/definitions.vpr,0,425,2,0,423,423,429,true,success,boogieTime=411
Go/gobra/gobra_test_suite/regressions/examples/evaluation/binary_search_tree.gobra.vpr,0,2718,22,0,2691,2718,2746,true,success,boogieTime=2256
Go/gobra/gobra_test_suite/regressions/examples/evaluation/binary_tree.gobra.vpr,0,874,8,0,863,879,882,true,success,boogieTime=751
Go/gobra/gobra_test_suite/regressions/examples/evaluation/dutchflag.gobra.vpr,0,811,13,1,795,812,828,true,success,boogieTime=706
Go/gobra/gobra_test_suite/regressions/examples/evaluation/list_of_interfaces.gobra.vpr,0,741,5,0,734,743,747,true,success,boogieTime=634
Go/gobra/gobra_test_suite/regressions/examples/evaluation/pair_insertion_sort.gobra.vpr,0,309104,291746,94,17358,600851,600851,false,success,boogieTime=16996
Go/gobra/gobra_test_suite/regressions/examples/evaluation/parallel_search_replace.gobra.vpr,0,4723,38,0,4674,4729,4768,true,success,boogieTime=3957
Go/gobra/gobra_test_suite/regressions/examples/evaluation/parallel_sum.gobra.vpr,0,5961,198,3,5687,6051,6147,true,success,boogieTime=4906
Go/gobra/gobra_test_suite/regressions/examples/evaluation/relaxed_prefix.gobra.vpr,0,1104,15,1,1085,1105,1122,true,success,boogieTime=936
Go/gobra/gobra_test_suite/regressions/examples/evaluation/visitor_pattern.gobra.vpr,0,2392,10,0,2377,2398,2402,true,success,boogieTime=2011
Go/gobra/gobra_test_suite/regressions/examples/evaluation/zune.gobra.vpr,0,551,2,0,549,550,554,true,success,boogieTime=508
Go/gobra/gobra_test_suite/regressions/examples/tour/Tree.gobra.vpr,0,889,8,0,880,889,900,true,success,boogieTime=729
Go/gobra/gobra_test_suite/regressions/examples/parallel_search_replace_shared.gobra.vpr,0,6684,399,5,6162,6761,7131,true,success,boogieTime=5349
GoC/gobra/scion_gobra_assume_injectivity/scion_DecodeAddrHdr.vpr,0,17426,55,0,17382,17392,17505,true,success,boogieTime=13989
GoC/gobra/scion_gobra_assume_injectivity/scion_DecodeFromBytes.vpr,1,25933,227,0,25623,26016,26161,true,4422.13-not.wellformed:permission.not.positive,boogieTime=21145
GoC/gobra/scion_gobra_assume_injectivity/scion_SerializeAddrHdr.vpr,4,22637,210,0,22390,22618,22905,true,3773.3-call.precondition:insufficient.permission;3773.3-call.precondition:insufficient.permission;3817.3-call.precondition:insufficient.permission;3817.3-call.precondition:insufficient.permission,boogieTime=18561
GoC/gobra/scion_gobra_assume_injectivity/scion_SerializeTo.vpr,0,68678,3040,4,64775,69070,72191,true,success,boogieTime=66620
GoC/gobra/scion_gobra_assume_injectivity/scion_pseudoHeaderChecksum.vpr,0,2689,14,0,2677,2681,2710,true,success,boogieTime=2096
GoC/gobra/scion_gobra_assume_injectivity/scion_select_NewMetrics_80c2a36d_F.vpr,0,2911,21,0,2888,2905,2940,true,success,boogieTime=1938
GoC/gobra/scion_gobra_assume_injectivity/scion_select_SerializeTo_fc206c7b_SY$17800ab4_fc206c7b_.vpr,0,16643,283,1,16264,16721,16944,true,success,boogieTime=13410
GoC/gobra/scion_gobra_assume_injectivity/scion_select_handleEgressRouterAlert_80c2a36d_PMscionPacketProcessor.vpr,3,32241,587,1,31442,32443,32839,true,4446.20-application.precondition:assertion.false;4446.20-application.precondition:assertion.false;4446.20-application.precondition:assertion.false,boogieTime=26941
GoC/gobra/scion_gobra_assume_injectivity/scion_select_handleSCMPTraceRouteRequest_80c2a36d_PMscionPacketProcessor.vpr,0,28763,90,0,28666,28739,28884,true,success,boogieTime=23593
GoC/gobra/scion_gobra_assume_injectivity/scion_select_ingressInterface_80c2a36d_PMscionPacketProcessor.vpr,0,5727,94,1,5593,5787,5801,true,success,boogieTime=4053
GoC/gobra/scion_gobra_assume_injectivity/scion_select_initMetrics_80c2a36d_PMDataPlane.vpr,0,2217,25,1,2190,2210,2252,true,success,boogieTime=1426
GoC/gobra/scion_gobra_assume_injectivity/scion_select_newPacketProcessor_80c2a36d_F.vpr,0,10815,43,0,10757,10826,10863,true,success,boogieTime=6317
GoC/gobra/scion_gobra_assume_injectivity/scion_select_processEgress_80c2a36d_PMscionPacketProcessor.vpr,3,29790,538,1,29092,29879,30401,true,4477.18-application.precondition:assertion.false;4477.18-application.precondition:assertion.false;4477.18-application.precondition:assertion.false,boogieTime=24402
GoC/gobra/scion_gobra_assume_injectivity/scion_select_processInterBFD_80c2a36d_PMscionPacketProcessor.vpr,0,4352,11,0,4337,4360,4361,true,success,boogieTime=3335
GoC/gobra/scion_gobra_assume_injectivity/scion_select_resolveLocalDst_80c2a36d_PMDataPlane.vpr,0,2737,18,0,2720,2729,2764,true,success,boogieTime=1856
GoC/gobra/wireguard/initiator_main.go.vpr,1,621009,0,0,621009,621009,621009,true,<no position>-timeout.error,boogieTime=600227
GoC/gobra/wireguard/responder_main.go.vpr,1,617909,0,0,617909,617909,617909,true,<no position>-timeout.error,boogieTime=600230
PP/mpp/sif_heap/banerjee.vpr,1,655,5,0,650,653,663,true,333.3-call.precondition:assertion.false,boogieTime=555
PP/mpp/sif_heap/darvas.vpr,1,485,0,0,485,486,486,true,60.11-postcondition.violated:assertion.false,boogieTime=457
PP/mpp/sif_heap/kusters.vpr,1,504,6,1,498,501,514,true,61.11-postcondition.violated:assertion.false,boogieTime=465
PP/mpp/sif_heap/naumann.vpr,0,533,5,0,528,532,540,true,success,boogieTime=493
PP/mpp/sif_heap/product.vpr,3,975,1,0,974,976,977,true,117.5-call.precondition:assertion.false;117.5-call.precondition:assertion.false;205.15-invariant.not.preserved:assertion.false,boogieTime=815
PP/mpp/toplas_p3_no_heap/pldi16_so_ArrayInt_false.vpr,1,747,8,1,738,747,758,true,16.11-postcondition.violated:assertion.false,boogieTime=669
PP/mpp/toplas_p3_no_heap/pldi16_so_ArrayInt_true.vpr,0,748,9,1,741,742,762,true,success,boogieTime=622
PP/mpp/toplas_p3_no_heap/pldi16_so_CatBPos.vpr,1,774,8,1,765,773,786,true,30.11-postcondition.violated:assertion.false,boogieTime=683
PP/mpp/toplas_p3_no_heap/pldi16_so_Chromosome_false.vpr,1,610,2,0,608,609,613,true,16.11-postcondition.violated:assertion.false,boogieTime=559
PP/mpp/toplas_p3_no_heap/pldi16_so_Chromosome_true.vpr,0,672,4,0,666,673,677,true,success,boogieTime=569
PP/mpp/toplas_p3_no_heap/pldi16_so_CollItem_false.vpr,1,577,4,0,573,574,584,true,21.11-postcondition.violated:assertion.false,boogieTime=513
PP/mpp/toplas_p3_no_heap/pldi16_so_CollItem_true.vpr,0,599,7,1,589,601,607,true,success,boogieTime=555
PP/mpp/toplas_p3_no_heap/pldi16_so_Contact_false.vpr,1,909,7,0,903,906,920,true,18.11-postcondition.violated:assertion.false,boogieTime=766
PP/mpp/toplas_p3_no_heap/pldi16_so_Container_false_v1.vpr,1,559,3,0,554,562,562,true,24.11-postcondition.violated:assertion.false,boogieTime=518
PP/mpp/toplas_p3_no_heap/pldi16_so_Container_false_v2.vpr,1,586,2,0,583,587,589,true,24.11-postcondition.violated:assertion.false,boogieTime=534
PP/mpp/toplas_p3_no_heap/pldi16_so_Container_true.vpr,0,573,4,0,568,573,578,true,success,boogieTime=513
PP/mpp/toplas_p3_no_heap/pldi16_so_DataPoint_false.vpr,1,704,11,1,691,704,718,true,18.11-postcondition.violated:assertion.false,boogieTime=584
PP/mpp/toplas_p3_no_heap/pldi16_so_FileItem_false.vpr,1,567,10,1,558,562,582,true,18.11-postcondition.violated:assertion.false,boogieTime=494
PP/mpp/toplas_p3_no_heap/pldi16_so_FileItem_true.vpr,0,589,2,0,585,590,592,true,success,boogieTime=519
PP/mpp/toplas_p3_no_heap/pldi16_so_IsoSprite_v1_false.vpr,1,566,3,0,564,564,572,true,27.11-postcondition.violated:assertion.false,boogieTime=526
PP/mpp/toplas_p3_no_heap/pldi16_so_IsoSprite_v2_false.vpr,0,970,9,0,957,973,980,true,success,boogieTime=816
PP/mpp/toplas_p3_no_heap/pldi16_so_Match_false.vpr,1,565,5,0,559,564,572,true,18.11-postcondition.violated:assertion.false,boogieTime=511
PP/mpp/toplas_p3_no_heap/pldi16_so_Match_true.vpr,0,551,5,0,545,552,558,true,success,boogieTime=503
PP/mpp/toplas_p3_no_heap/pldi16_so_NameComparator_false.vpr,0,760,8,1,748,764,768,true,success,boogieTime=659
PP/mpp/toplas_p3_no_heap/pldi16_so_NameComparator_true.vpr,0,779,3,0,775,782,782,true,success,boogieTime=649
PP/mpp/toplas_p3_no_heap/pldi16_so_Node_false.vpr,1,554,1,0,553,554,557,true,18.11-postcondition.violated:assertion.false,boogieTime=505
PP/mpp/toplas_p3_no_heap/pldi16_so_Node_true.vpr,0,551,11,1,535,556,563,true,success,boogieTime=507
PP/mpp/toplas_p3_no_heap/pldi16_so_NzbFile_false.vpr,0,781,5,0,775,779,789,true,success,boogieTime=644
PP/mpp/toplas_p3_no_heap/pldi16_so_NzbFile_true.vpr,0,987,5,0,983,984,996,true,success,boogieTime=801
PP/mpp/toplas_p3_no_heap/pldi16_so_PokerHand_false.vpr,1,2869,28,0,2843,2857,2909,true,21.11-postcondition.violated:assertion.false,boogieTime=2450
PP/mpp/toplas_p3_no_heap/pldi16_so_PokerHand_true.vpr,0,2260,15,0,2244,2256,2282,true,success,boogieTime=1905
PP/mpp/toplas_p3_no_heap/pldi16_so_Solution_false.vpr,1,553,2,0,551,554,556,true,23.11-postcondition.violated:assertion.false,boogieTime=520
PP/mpp/toplas_p3_no_heap/pldi16_so_Solution_true.vpr,0,555,4,0,549,559,559,true,success,boogieTime=495
PP/mpp/toplas_p3_no_heap/pldi16_so_TextPosition_false.vpr,1,612,1,0,610,613,613,true,29.11-postcondition.violated:assertion.false,boogieTime=538
PP/mpp/toplas_p3_no_heap/pldi16_so_TextPosition_true.vpr,0,620,11,1,612,613,636,true,success,boogieTime=528
PP/mpp/toplas_p3_no_heap/pldi16_so_Time_false.vpr,0,557,5,0,550,560,563,true,success,boogieTime=512
PP/mpp/toplas_p3_no_heap/pldi16_so_Time_true.vpr,0,545,3,0,540,546,549,true,success,boogieTime=473
PP/mpp/toplas_p3_no_heap/pldi16_so_Word_false.vpr,0,782,7,0,775,779,792,true,success,boogieTime=662
PP/mpp/toplas_p3_no_heap/pldi16_so_Word_true.vpr,0,751,5,0,744,755,755,true,success,boogieTime=633
Py/nagini/normal/igloo/initiator.vpr,0,83676,823,0,82514,84194,84322,true,success,boogieTime=76355
Py/nagini/normal/igloo/responder.vpr,0,83588,1249,1,82522,82901,85341,true,success,boogieTime=74255
Py/nagini/normal/scion/handle_extensions.vpr,0,16537,216,1,16373,16396,16843,true,success,boogieTime=14614
Py/nagini/normal/scion/link_type.vpr,1,9410,95,1,9300,9399,9532,true,1059.16-invariant.not.established:assertion.false,boogieTime=8069
Py/nagini/normal/scion/send.vpr,6,181277,254,0,181032,181173,181628,true,1439.11-postcondition.violated:assertion.false;1516.198-application.precondition:assertion.false;1516.360-application.precondition:assertion.false;1516.374-application.precondition:assertion.false;1516.527-application.precondition:assertion.false;1516.541-application.precondition:assertion.false,boogieTime=163245
Py/nagini/normal/scion/validate_segment_switch.vpr,2,29839,223,0,29543,29891,30083,true,1007.11-postcondition.violated:assertion.false;997.11-postcondition.violated:assertion.false,boogieTime=25343
Py/nagini/normal/scion/verify_hof.vpr,2,25505,172,0,25263,25606,25648,true,1040.11-postcondition.violated:assertion.false;1050.11-postcondition.violated:assertion.false,boogieTime=21831
Py/nagini/normal/test_examples/testsfunctionalverificationexamplescav_example.py.vpr,0,3479,74,2,3411,3444,3584,true,success,boogieTime=3090
Py/nagini/normal/test_examples/testsfunctionalverificationexamplesiap_bst.py.vpr,1,92,11,11,77,97,104,true,688.13-parser.error,
Py/nagini/normal/test_examples/testsfunctionalverificationexampleskeon_knapsack.py.vpr,0,4966,42,0,4930,4943,5027,true,success,boogieTime=4257
Py/nagini/normal/test_examples/testsfunctionalverificationexamplesparkinson_recell.py.vpr,0,1393,5,0,1387,1392,1401,true,success,boogieTime=1137
Py/nagini/normal/test_examples/testsfunctionalverificationexamplesrosetta_qsort.py.vpr,0,3262,59,1,3181,3286,3321,true,success,boogieTime=2766
Py/nagini/normal/test_examples/testsfunctionalverificationexamplestest_student_enroll_preds.py.vpr,1,3293,16,0,3276,3288,3315,true,1051.10-assert.failed:assertion.false,boogieTime=2701
Py/nagini/normal/test_examples/testsioverificationverifastbuffering_in_libraryputchar_with_buffer.py.vpr,0,4104,9,0,4094,4102,4117,true,success,boogieTime=3428
Py/nagini/normal/test_examples/testsioverificationverifastmatching_bracketsmatching_brackets_checker.py.vpr,0,6635,19,0,6608,6646,6651,true,success,boogieTime=5647
Py/nagini/normal/test_examples/testsioverificationverifastmatching_bracketsmatching_brackets_output.py.vpr,0,4672,15,0,4652,4674,4690,true,success,boogieTime=4002
Py/nagini/normal/test_examples/testsioverificationverifastnever_ending_programinfinite_counter.py.vpr,0,5320,9,0,5306,5326,5328,true,success,boogieTime=4547
Py/nagini/normal/test_examples/testsioverificationverifastnever_ending_programyes.py.vpr,0,2291,10,0,2282,2285,2306,true,success,boogieTime=1925
Py/nagini/normal/test_examples/testsioverificationverifastoutput_anythingoutput_any_char.py.vpr,0,2638,5,0,2632,2637,2645,true,success,boogieTime=2266
Py/nagini/normal/test_examples/testsioverificationverifastteetee_out.py.vpr,0,5498,13,0,5488,5489,5518,true,success,boogieTime=4815
Py/nagini/normal/test_examples/testsioverificationverifastteetee_unbuffered.py.vpr,0,5077,38,0,5040,5063,5130,true,success,boogieTime=4406
Py/nagini/normal/test_examples/testsobligationsverificationchalice2silverlargerExamplesparallelTreeProcessing.py.vpr,0,1727,4,0,1724,1724,1733,true,success,boogieTime=1456
Py/nagini/normal/test_examples/testsobligationsverificationchalice2silverlargerExampleswatchdog.py.vpr,0,2201,4,0,2196,2201,2208,true,success,boogieTime=1717
Py/nagini/normal/VerifyThis22_Ch2_basic.vpr,0,42053,705,1,41327,41823,43009,true,success,boogieTime=39422
Py/nagini/normal/quicksort_full_functional.vpr,0,5992,187,3,5748,6025,6204,true,success,boogieTime=5013
PyP/nagini/sif_mpp/testssif-trueverificationexamplesbanerjee.py.vpr,1,3264,1,0,3262,3265,3266,true,2494.7-call.precondition:assertion.false,boogieTime=2459
PyP/nagini/sif_mpp/testssif-trueverificationexamplescav2021-fig4.py.vpr,1,1418,5,0,1410,1422,1423,true,789.11-postcondition.violated:assertion.false,boogieTime=1126
PyP/nagini/sif_mpp/testssif-trueverificationexamplesdarvas.py.vpr,1,1670,3,0,1666,1672,1673,true,967.11-postcondition.violated:assertion.false,boogieTime=1295
PyP/nagini/sif_mpp/testssif-trueverificationexamplesexample-decl.py.vpr,1,2862,5,0,2854,2866,2867,true,914.11-postcondition.violated:assertion.false,boogieTime=2334
PyP/nagini/sif_mpp/testssif-trueverificationexamplesexample-term.py.vpr,2,1229,9,0,1217,1229,1241,true,882.14-assert.failed:assertion.false;885.14-assert.failed:assertion.false,boogieTime=1055
PyP/nagini/sif_mpp/testssif-trueverificationexamplesexample.py.vpr,0,1784,3,0,1781,1783,1789,true,success,boogieTime=1423
PyP/nagini/sif_mpp/testssif-trueverificationexampleshigh-references-low-values.py.vpr,1,1175,4,0,1171,1174,1182,true,791.11-postcondition.violated:assertion.false,boogieTime=971
PyP/nagini/sif_mpp/testssif-trueverificationexampleshigh-references.py.vpr,1,1152,4,0,1147,1152,1159,true,1112.7-call.precondition:assertion.false,boogieTime=916
PyP/nagini/sif_mpp/testssif-trueverificationexampleskusters.py.vpr,0,1695,3,0,1691,1695,1699,true,success,boogieTime=1359
PyP/nagini/sif_mpp/testssif-trueverificationexamplesnaumann.py.vpr,0,2948,5,0,2943,2946,2956,true,success,boogieTime=2344
PyP/nagini/sif_mpp/testssif-trueverificationexamplesno_obligationssecc-db-pred.py.vpr,0,30365,42,0,30308,30382,30407,true,success,boogieTime=28173
PyP/nagini/sif_mpp/testssif-trueverificationexamplesno_obligationssecc-db.py.vpr,0,8353,21,0,8334,8342,8383,true,success,boogieTime=6028
PyP/nagini/sif_mpp/testssif-trueverificationexamplesno_obligationssecc-encrypt.py.vpr,0,1790,12,0,1780,1783,1808,true,success,boogieTime=1499
PyP/nagini/sif_mpp/testssif-trueverificationexamplesproduct.py.vpr,0,4654,7,0,4645,4654,4664,true,success,boogieTime=3651
PyP/nagini/sif_prob/testssif-probverificationexamplesno_obligationssecc-cav2019.py.vpr,2,2159,3,0,2156,2158,2165,true,1185.13-call.precondition:assertion.false;1306.12-assert.failed:assertion.false,boogieTime=1672
PyP/nagini/sif_prob/testssif-probverificationexamplesno_obligationssecc-cddc.py.vpr,0,38627,111,0,38478,38658,38747,true,success,boogieTime=35772
PyP/nagini/sif_prob/testssif-probverificationexamplesno_obligationssecc-ct.py.vpr,0,2981,7,0,2974,2979,2991,true,success,boogieTime=2506
PyP/nagini/sif_prob/testssif-probverificationexamplesno_obligationssecc-declassify.py.vpr,1,601852,0,0,601852,601852,601852,true,<no position>-timeout.error,boogieTime=600137
RSL/RSL2Viper/ExtraViperExamples/FencesDblMsgPassAcqRewrite.vpr,0,11996,88,0,11893,11985,12110,true,success,boogieTime=10967
RSL/RSL2Viper/ExtraViperExamples/FollyRWSpinlockStronger.vpr,4,605581,0,0,605581,605581,605581,true,676.14-exhale.failed:assertion.false;676.14-exhale.failed:insufficient.permission;676.14-exhale.failed:insufficient.permission;<no position>-timeout.error,boogieTime=600126
RSL/RSL2Viper/ExtraViperExamples/FollyRWSpinlockStronger_mod.vpr,4,6073,75,1,5998,6149,6149,false,129.11-postcondition.violated:insufficient.permission;678.14-exhale.failed:assertion.false;678.14-exhale.failed:insufficient.permission;678.14-exhale.failed:insufficient.permission,boogieTime=917
RSL/RSL2Viper/ExtraViperExamples/FollyRWSpinlock_err.vpr,3,605340,0,0,605340,605340,605340,true,667.14-exhale.failed:insufficient.permission;667.14-exhale.failed:insufficient.permission;<no position>-timeout.error,boogieTime=600123
RSL/RSL2Viper/ExtraViperExamples/FollyRWSpinlock_err_mod.vpr,6,6027,27,0,5990,6038,6054,true,119.11-postcondition.violated:insufficient.permission;669.14-exhale.failed:assertion.false;669.14-exhale.failed:assertion.false;669.14-exhale.failed:insufficient.permission;669.14-exhale.failed:insufficient.permission;669.14-exhale.failed:insufficient.permission,boogieTime=895
